"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006195","GO:0006195","purine nucleotide catabolic process","6/132","139/18805",0.0431654676258993,6.14944408109876,5.1232689375734,0.000447039405081689,0.0366183582249523,0.0344332868994271,"PGM1/SLC4A4/GALK1/EIF6/DNPH1/BCL2L13",6
"GO:0046365","GO:0046365","monosaccharide catabolic process","4/132","55/18805",0.0727272727272727,10.3608815426997,5.8452420038825,0.00059959315217749,0.0457608925994862,0.0430302727930134,"PGM1/GALK1/NUDT5/BCL2L13",4
"GO:0006096","GO:0006096","glycolytic process","5/132","97/18805",0.0515463917525773,7.34340830990315,5.2662308339734,0.000607230528124817,0.0457608925994862,0.0430302727930134,"PGM1/SLC4A4/GALK1/EIF6/BCL2L13",5
"GO:0046032","GO:0046032","ADP catabolic process","5/132","99/18805",0.0505050505050505,7.19505662687481,5.19609940716048,0.00066643551379727,0.0464464113216156,0.043674885604134,"PGM1/SLC4A4/GALK1/EIF6/BCL2L13",5
"GO:0046716","GO:0046716","muscle cell cellular homeostasis","3/132","25/18805",0.12,17.0954545454545,6.77065203414723,0.000694436430826462,0.0464464113216156,0.043674885604134,"GAA/DMD/LAMP2",3
"GO:0019364","GO:0019364","pyridine nucleotide catabolic process","5/132","101/18805",0.0495049504950495,7.0525802580258,5.12789395279543,0.000729860881058571,0.0464464113216156,0.043674885604134,"PGM1/SLC4A4/GALK1/EIF6/BCL2L13",5
"GO:0009137","GO:0009137","purine nucleoside diphosphate catabolic process","5/132","102/18805",0.0490196078431373,6.98343731431967,5.09448435291474,0.000763214728788176,0.0464464113216156,0.043674885604134,"PGM1/SLC4A4/GALK1/EIF6/BCL2L13",5
"GO:0009181","GO:0009181","purine ribonucleoside diphosphate catabolic process","5/132","102/18805",0.0490196078431373,6.98343731431967,5.09448435291474,0.000763214728788176,0.0464464113216156,0.043674885604134,"PGM1/SLC4A4/GALK1/EIF6/BCL2L13",5
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process","8/132","277/18805",0.0288808664259928,4.11442949349087,4.39045120931973,0.000764245621534015,0.0464464113216156,0.043674885604134,"PGM1/TMSB4X/SLC4A4/GALK1/EIF6/NUDT5/BCL2L13/RRM2B",8
"GO:0072523","GO:0072523","purine-containing compound catabolic process","6/132","156/18805",0.0384615384615385,5.47931235431235,4.72335851578113,0.000820764619555729,0.0475751813530642,0.0447363002666259,"PGM1/SLC4A4/GALK1/EIF6/DNPH1/BCL2L13",6
"GO:0072526","GO:0072526","pyridine-containing compound catabolic process","5/132","104/18805",0.0480769230769231,6.84914044289044,5.02899660075417,0.000833323240260678,0.0475751813530642,0.0447363002666259,"PGM1/SLC4A4/GALK1/EIF6/BCL2L13",5
"GO:0046031","GO:0046031","ADP metabolic process","5/132","105/18805",0.0476190476190476,6.78391053391053,4.99689761716635,0.000870125773745524,0.0482152046393108,0.0453381324214773,"PGM1/SLC4A4/GALK1/EIF6/BCL2L13",5
