"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001510","BP","GO:0001510","RNA methylation","6/256","81/18805",0.0740740740740741,5.44126157407407,4.70581011394971,0.000830350035177401,0.0188328970163345,0.0168126601549851,"HSD17B10/FBL/SNRPD3/TRMT112/SNRPD1/SNRPE",6
"GO:2000779","BP","GO:2000779","regulation of double-strand break repair","8/256","145/18805",0.0551724137931034,4.05280172413793,4.3352249057202,0.00084750924139575,0.0190618953543927,0.0170170934522357,"PRKDC/PARP1/RUVBL2/RUVBL1/TP53BP1/FH/TOP2B/SMARCA4",8
"GO:1900180","BP","GO:1900180","regulation of protein localization to nucleus","8/256","146/18805",0.0547945205479452,4.02504280821918,4.31070818082383,0.000886303751106686,0.0197697010267516,0.0176489716075094,"FLNA/TRIM28/CTNNA1/PARP1/TPR/IPO7/TFRC/MAVS",8
"GO:0006364","BP","GO:0006364","rRNA processing","10/256","222/18805",0.045045045045045,3.30887528153153,4.0654057899748,0.000962840929274713,0.0213008825255119,0.0190159006653134,"PRKDC/DDX17/EIF4A3/NOP56/FBL/NOP58/PELP1/SART1/TRMT112/GAR1",10
"GO:1903900","BP","GO:1903900","regulation of viral life cycle","7/256","115/18805",0.0608695652173913,4.47129755434783,4.38652859832756,0.00100386183545705,0.0220278300316958,0.0196648672773744,"TRIM28/DDX5/HMGB1/DDB1/BANF1/TOP2B/MAVS",7
"GO:0040029","BP","GO:0040029","epigenetic regulation of gene expression","12/256","308/18805",0.038961038961039,2.86196225649351,3.87061911021204,0.0011015262805166,0.0239759631541476,0.0214040208497665,"HNRNPK/HNRNPU/TRIM28/TPR/HMGB1/DDB1/APEX1/RBM14/USP7/SMARCA4/TRMT112/PIWIL4",12
"GO:0048026","BP","GO:0048026","positive regulation of mRNA splicing, via spliceosome","4/256","34/18805",0.117647058823529,8.64200367647059,5.23947592639983,0.00112841484497916,0.0243647333327899,0.0217510869907982,"NCL/THRAP3/NUP98/TRA2A",4
"GO:0006457","BP","GO:0006457","protein folding","10/256","227/18805",0.0440528634361234,3.2359925660793,3.98170112611652,0.00113948391736665,0.0244084689918458,0.0217901310513973,"KHSRP/HSPA9/RUVBL2/PDIA6/HSPA4/TRAP1/DFFA/ANP32E/HSPBP1/RANBP2",10
"GO:0030174","BP","GO:0030174","regulation of DNA-templated DNA replication initiation","3/256","16/18805",0.1875,13.773193359375,6.00471636213837,0.0012246334859823,0.0258225451458299,0.0230525168537294,"MCM7/MCM2/MCM5",3
"GO:0036260","BP","GO:0036260","RNA capping","3/256","16/18805",0.1875,13.773193359375,6.00471636213837,0.0012246334859823,0.0258225451458299,0.0230525168537294,"SNRPD3/SNRPD1/SNRPE",3
"GO:0009161","BP","GO:0009161","ribonucleoside monophosphate metabolic process","5/256","59/18805",0.0847457627118644,6.22517213983051,4.72233894582646,0.00123642089428354,0.0258689921990022,0.023093981452591,"PFAS/GART/CAD/AK2/MAGI3",5
