"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008301","GO:0008301","DNA binding, bending","3/260","19/18639",0.157894736842105,11.3192307692308,5.35253697008023,0.00220361301663017,0.0185103493396934,0.0147740208726298,"HMGB1/TOP1/HMGB3",3
"GO:0003714","GO:0003714","transcription corepressor activity","9/260","204/18639",0.0441176470588235,3.16272624434389,3.69420040778827,0.00232514173623091,0.0192352634542739,0.0153526105071706,"HNRNPU/TRIM28/RUVBL2/HMGB1/APEX1/CHD4/SMARCA4/IRF2BP2/CTBP2",9
"GO:0016877","GO:0016877","ligase activity, forming carbon-sulfur bonds","4/260","41/18639",0.0975609756097561,6.99399624765478,4.56983650090228,0.00249787445708378,0.020355812739817,0.0162469760445041,"UBA1/SUCLG2/SLC27A3/UBA2",4
"GO:0002039","GO:0002039","p53 binding","5/260","69/18639",0.072463768115942,5.19481605351171,4.15199578233066,0.00276152494525686,0.0221734208839742,0.017697698565578,"TP53BP1/USP7/SMARCA4/USP10/PSME3",5
"GO:0140297","GO:0140297","DNA-binding transcription factor binding","15/260","488/18639",0.0307377049180328,2.20353877679697,3.20438808914857,0.00368250983194553,0.0291398604093081,0.0232579568333402,"FLNA/PRKDC/DHX9/PARP1/DDX5/HMGB1/GTF2I/RPS3/EEF1D/TP53BP1/CHD4/THRAP3/SMARCA4/RAD21/CTBP2",15
"GO:0031491","GO:0031491","nucleosome binding","5/260","74/18639",0.0675675675675676,4.84381496881497,3.94054458432438,0.0037420763416323,0.0291881954647319,0.0232965354200868,"PARP1/HNRNPC/CHD4/SUPT16H/SMARCA4",5
"GO:0016879","GO:0016879","ligase activity, forming carbon-nitrogen bonds","4/260","48/18639",0.0833333333333333,5.97403846153846,4.10396616096165,0.0044482610042621,0.0337326459489876,0.0269236850257969,"PFAS/GART/CAD/MCCC1",4
"GO:0140693","GO:0140693","molecular condensate scaffold activity","4/260","48/18639",0.0833333333333333,5.97403846153846,4.10396616096165,0.0044482610042621,0.0337326459489876,0.0269236850257969,"HNRNPA2B1/CAPRIN1/MAVS/NUP98",4
"GO:0060590","GO:0060590","ATPase regulator activity","4/260","49/18639",0.0816326530612245,5.85211930926217,4.04496907052007,0.00479147163966803,0.0358375824008047,0.0286037384112842,"HSPA4/PFN1/CCAR2/HSPBP1",4
"GO:0008143","GO:0008143","poly(A) binding","3/260","26/18639",0.115384615384615,8.27174556213018,4.41308760368149,0.00550278526978302,0.0402607474404481,0.0321340841340766,"HNRNPU/DDX1/EIF4A3",3
"GO:0003743","GO:0003743","translation initiation factor activity","4/260","51/18639",0.0784313725490196,5.62262443438914,3.93172157362667,0.00553032245061101,0.0402607474404481,0.0321340841340766,"EIF4H/EIF3F/EIF5B/EIF3K",4
"GO:0008266","GO:0008266","poly(U) RNA binding","3/260","27/18639",0.111111111111111,7.96538461538462,4.30780316784739,0.00612759598044916,0.0440219395437531,0.0351360766745977,"HNRNPH1/HNRNPC/MSI2",3
