"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051236","GO:0051236","establishment of RNA localization","25/256","168/18805",0.148809523809524,10.9311058407738,15.1896966926235,5.19178926991878e-19,1.27387629450098e-16,1.13722541998508e-16,"HNRNPA2B1/DHX9/KHSRP/DDX39B/TPR/LRPPRC/YBX1/XPO1/EIF4A3/ALYREF/SARNP/NUP93/DDX19B/NUP98/NUP214/NUP133/MAGOHB/NUP88/NUP35/RFTN2/RAE1/NUP205/RANBP2/NUP160/TOMM20",25
"GO:0051028","GO:0051028","mRNA transport","22/256","136/18805",0.161764705882353,11.8827550551471,14.9634809125552,1.15340803740479e-17,2.59420691079626e-15,2.31592192773645e-15,"HNRNPA2B1/DHX9/KHSRP/DDX39B/TPR/LRPPRC/XPO1/EIF4A3/ALYREF/SARNP/NUP93/DDX19B/NUP98/NUP214/NUP133/MAGOHB/NUP88/NUP35/RAE1/NUP205/RANBP2/NUP160",22
"GO:0000245","GO:0000245","spliceosomal complex assembly","19/256","96/18805",0.197916666666667,14.5383707682292,15.6228975946108,3.96117533671501e-17,8.22400941061063e-15,7.34180594796815e-15,"SNRNP200/DDX39B/SF3B2/DDX1/SF3B3/U2AF2/SF3A1/PUF60/SRSF10/SNRPD3/SRSF6/SNRPA1/SF3A3/LUC7L3/SRSF5/SNRPD1/SF3B4/SF3B5/SNRPE",19
"GO:0006913","GO:0006913","nucleocytoplasmic transport","30/256","340/18805",0.0882352941176471,6.48150275735294,11.9825511829963,4.19072945618306e-16,7.54051920149206e-14,6.73163489487932e-14,"FLNA/HNRNPA2B1/DHX9/TRIM28/HSPA9/DDX39B/TPR/PPP1CC/ELAVL1/XPO1/IPO7/EIF4A3/ALYREF/RBM4/MAVS/SARNP/NUP93/DDX19B/NUP98/NUP214/RBM10/NUP133/MAGOHB/NUP88/FBXO22/NUP35/RAE1/NUP205/RANBP2/NUP160",30
"GO:0051169","GO:0051169","nuclear transport","30/256","340/18805",0.0882352941176471,6.48150275735294,11.9825511829963,4.19072945618306e-16,7.54051920149206e-14,6.73163489487932e-14,"FLNA/HNRNPA2B1/DHX9/TRIM28/HSPA9/DDX39B/TPR/PPP1CC/ELAVL1/XPO1/IPO7/EIF4A3/ALYREF/RBM4/MAVS/SARNP/NUP93/DDX19B/NUP98/NUP214/RBM10/NUP133/MAGOHB/NUP88/FBXO22/NUP35/RAE1/NUP205/RANBP2/NUP160",30
"GO:0015931","GO:0015931","nucleobase-containing compound transport","25/256","240/18805",0.104166666666667,7.65177408854167,12.1837362349855,2.93484950313713e-15,4.95072425560445e-13,4.41965165307954e-13,"HNRNPA2B1/DHX9/KHSRP/DDX39B/TPR/LRPPRC/YBX1/XPO1/EIF4A3/ALYREF/SARNP/NUP93/DDX19B/NUP98/NUP214/NUP133/MAGOHB/NUP88/NUP35/RFTN2/RAE1/NUP205/RANBP2/NUP160/TOMM20",25
"GO:0043484","GO:0043484","regulation of RNA splicing","22/256","187/18805",0.117647058823529,8.64200367647059,12.3380460222097,1.14751270860888e-14,1.82184517678551e-12,1.62641274922955e-12,"HNRNPK/HNRNPU/HNRNPH1/NCL/DDX17/DDX5/SF3B3/THRAP3/U2AF2/PUF60/RBM4/RBM39/SRSF10/HNRNPLL/SRSF6/NUP98/POLR2A/RBM10/SON/ZNF326/TRA2A/SF3B5",22
"GO:0006405","GO:0006405","RNA export from nucleus","17/256","96/18805",0.177083333333333,13.0080159505208,13.8569113463553,1.32897679373541e-14,1.99272687016214e-12,1.77896367301774e-12,"HNRNPA2B1/DHX9/DDX39B/TPR/XPO1/EIF4A3/ALYREF/SARNP/NUP93/DDX19B/NUP98/NUP214/NUP133/MAGOHB/NUP88/RAE1/NUP160",17
"GO:0050684","GO:0050684","regulation of mRNA processing","19/256","133/18805",0.142857142857143,10.4938616071429,12.9079760557301,2.16883514364288e-14,3.08088739615376e-12,2.75039537052552e-12,"DHX9/HNRNPK/HNRNPU/NCL/DDX17/DDX5/THRAP3/U2AF2/PUF60/RBM4/RBM39/SRSF10/SRSF6/NUP98/RBM10/SON/MAGOHB/SLTM/TRA2A",19
"GO:0006406","GO:0006406","mRNA export from nucleus","15/256","75/18805",0.2,14.69140625,13.957082747253,7.4651343153821e-14,1.00741987586081e-11,8.99352234100507e-12,"HNRNPA2B1/DDX39B/TPR/XPO1/EIF4A3/ALYREF/SARNP/NUP93/DDX19B/NUP214/NUP133/MAGOHB/NUP88/RAE1/NUP160",15
