"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","GO:0042254","ribosome biogenesis","15/256","317/18805",0.0473186119873817,3.47588475946372,5.22275850146659,3.15038094256907e-05,0.00121469688057056,0.00108439428233693,"PRKDC/DDX17/RPSA/XPO1/EIF4A3/NOP56/FBL/NOP58/EIF5B/PELP1/SART1/RBM10/TRMT112/NUP88/GAR1",15
"GO:0051054","GO:0051054","positive regulation of DNA metabolic process","14/256","293/18805",0.0477815699658703,3.509892278157,5.08682825714874,5.20794592938747e-05,0.00197975296667842,0.00176738150220429,"PRKDC/HNRNPA2B1/DHX9/TRIM28/PARP1/RUVBL2/HMGB1/RUVBL1/RPS3/TP53BP1/FH/TFRC/TOP2B/SMARCA4",14
"GO:0160049","GO:0160049","negative regulation of cGAS/STING signaling pathway","4/256","16/18805",0.25,18.3642578125,8.16298947878839,5.36777847390421e-05,0.00198460741110513,0.00177171520212931,"PRKDC/PARP1/PCBP2/BANF1",4
"GO:2000767","GO:2000767","positive regulation of cytoplasmic translation","4/256","16/18805",0.25,18.3642578125,8.16298947878839,5.36777847390421e-05,0.00198460741110513,0.00177171520212931,"DHX9/HNRNPU/SYNCRIP/YBX1",4
"GO:0000724","GO:0000724","double-strand break repair via homologous recombination","11/256","188/18805",0.0585106382978723,4.29801778590426,5.33902460093375,5.55876779290445e-05,0.00202744787473637,0.00180996009643788,"PARP1/RUVBL2/RUVBL1/MCM7/TP53BP1/CHD4/MCM2/FEN1/MCM5/RPA3/RAD21",11
"GO:0006635","GO:0006635","fatty acid beta-oxidation","7/256","74/18805",0.0945945945945946,6.94863809121622,6.02334555373562,6.60600749911201e-05,0.00237728189868044,0.00212226683024104,"HADHA/HSD17B10/DECR1/ACADM/ECI1/ACOX1/ECHDC1",7
"GO:0048511","GO:0048511","rhythmic process","14/256","303/18805",0.0462046204620462,3.39405424917492,4.9354961392797,7.4656759568377e-05,0.00265129729046118,0.00236688812537417,"PRKDC/DHX9/HNRNPU/PARP1/DDX5/DDB1/PPP1CC/THRAP3/CCAR2/RBM4/PSPC1/GFPT1/TOP1/USP7",14
"GO:0072594","GO:0072594","establishment of protein localization to organelle","18/256","467/18805",0.0385438972162741,2.83132026231263,4.70794748667474,7.71359302107394e-05,0.00270376461868553,0.00241372719415424,"FLNA/TRIM28/RUVBL2/TPR/HSPA4/ELAVL1/IPO7/USP7/MAVS/NUP93/NUP98/NUP214/PMPCB/NUP133/NUP88/NUP35/RANBP2/TOMM20",18
"GO:0000387","GO:0000387","spliceosomal snRNP assembly","6/256","53/18805",0.113207547169811,8.31589033018868,6.26565066310876,8.0635989499167e-05,0.00279021199561861,0.00249090121408358,"SART3/SRSF10/SNRPD3/SART1/SNRPD1/SNRPE",6
"GO:0000819","GO:0000819","sister chromatid segregation","12/256","234/18805",0.0512820512820513,3.76702724358974,5.00366899297964,9.1817437038868e-05,0.00307920882151257,0.0027488968594381,"FLNA/NUMA1/HNRNPU/TPR/PPP1CC/TOP2B/SMARCA4/BUB3/GOLGA2/RAD21/STAG2/ZNF207",12
"GO:1903313","GO:1903313","positive regulation of mRNA metabolic process","12/256","234/18805",0.0512820512820513,3.76702724358974,5.00366899297964,9.1817437038868e-05,0.00307920882151257,0.0027488968594381,"DHX9/KHSRP/HNRNPU/NCL/SYNCRIP/YBX1/ELAVL1/THRAP3/CAPRIN1/NUP98/TRA2A/CNOT3",12
"GO:0007059","GO:0007059","chromosome segregation","17/256","431/18805",0.0394431554524362,2.89737710266821,4.68139500730721,9.24104907530634e-05,0.00307920882151257,0.0027488968594381,"FLNA/TUBB/NUMA1/HNRNPU/TPR/DDB1/PPP1CC/RPS3/RCC2/TOP1/TOP2B/SMARCA4/BUB3/GOLGA2/RAD21/STAG2/ZNF207",17
"GO:0043488","GO:0043488","regulation of mRNA stability","13/256","274/18805",0.0474452554744526,3.48518761405109,4.86821653538362,0.000103400391438699,0.00340338605479326,0.00303829905010502,"DHX9/KHSRP/HNRNPU/SYNCRIP/HNRNPC/YBX1/APEX1/ELAVL1/THRAP3/HNRNPA0/CAPRIN1/RBM10/CNOT3",13
"GO:0019395","GO:0019395","fatty acid oxidation","8/256","107/18805",0.0747663551401869,5.49211448598131,5.47431748136559,0.000107926576331272,0.00350956421106149,0.00313308729514626,"HADHA/HSD17B10/ADH5/DECR1/ACADM/ECI1/ACOX1/ECHDC1",8
"GO:0006260","GO:0006260","DNA replication","13/256","280/18805",0.0464285714285714,3.41050502232143,4.77411417713322,0.000128325023617875,0.00412320522315053,0.00368090199324957,"DHX9/PARP1/RUVBL2/RUVBL1/MCM7/NASP/MCM2/TOP1/SUPT16H/FEN1/MCM5/RPA3/NFIX",13
"GO:0000288","GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","6/256","58/18805",0.103448275862069,7.59900323275862,5.91304659829958,0.000134324775968346,0.00421561128300659,0.00376339549806052,"DHX9/HNRNPU/SYNCRIP/YBX1/CAPRIN1/CNOT3",6
"GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation","6/256","58/18805",0.103448275862069,7.59900323275862,5.91304659829958,0.000134324775968346,0.00421561128300659,0.00376339549806052,"NUMA1/HNRNPU/TPR/BUB3/RAD21/ZNF207",6
"GO:0098813","GO:0098813","nuclear chromosome segregation","14/256","322/18805",0.0434782608695652,3.1937839673913,4.66466452697068,0.000141769071894934,0.00439810028786698,0.00392630859730797,"FLNA/NUMA1/HNRNPU/TPR/DDB1/PPP1CC/RCC2/TOP2B/SMARCA4/BUB3/GOLGA2/RAD21/STAG2/ZNF207",14
"GO:0032204","GO:0032204","regulation of telomere maintenance","8/256","112/18805",0.0714285714285714,5.24693080357143,5.29577526260023,0.000148528311544528,0.00455543082793955,0.00406676202303139,"HNRNPA2B1/HNRNPU/PARP1/RUVBL2/HNRNPC/RUVBL1/USP7/YLPM1",8
"GO:0043487","GO:0043487","regulation of RNA stability","13/256","287/18805",0.0452961672473868,3.32732197299652,4.66750972650014,0.000163805089782571,0.00496752738565346,0.0044346522828185,"DHX9/KHSRP/HNRNPU/SYNCRIP/HNRNPC/YBX1/APEX1/ELAVL1/THRAP3/HNRNPA0/CAPRIN1/RBM10/CNOT3",13
"GO:0034440","GO:0034440","lipid oxidation","8/256","114/18805",0.0701754385964912,5.15487938596491,5.22732414217049,0.000167949187002287,0.00503660950799081,0.00449632384851737,"HADHA/HSD17B10/ADH5/DECR1/ACADM/ECI1/ACOX1/ECHDC1",8
"GO:1900151","GO:1900151","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","4/256","23/18805",0.173913043478261,12.7751358695652,6.63809984181659,0.000242294240483853,0.00718628741830679,0.00641540215694088,"DHX9/HNRNPU/SYNCRIP/YBX1",4
"GO:0006997","GO:0006997","nucleus organization","9/256","154/18805",0.0584415584415584,4.29294338474026,4.82034826486894,0.000265859414905251,0.00779950609597036,0.00696283982515012,"NUMA1/TPR/TMEM43/BANF1/NUP93/NUP98/NUP133/NUP35/NUP205",9
"GO:0006265","GO:0006265","DNA topological change","3/256","10/18805",0.3,22.037109375,7.81717353752368,0.00027878390361594,0.00800465697722789,0.00714598382280947,"HMGB1/TOP1/TOP2B",3
"GO:0051292","GO:0051292","nuclear pore complex assembly","3/256","10/18805",0.3,22.037109375,7.81717353752368,0.00027878390361594,0.00800465697722789,0.00714598382280947,"NUP93/NUP98/NUP205",3
"GO:0016072","GO:0016072","rRNA metabolic process","12/256","265/18805",0.0452830188679245,3.32635613207547,4.48052727243283,0.000291939995542578,0.00823601927179357,0.0073525274909364,"PRKDC/NCL/DDX17/EIF4A3/NOP56/FBL/NOP58/SMARCA4/PELP1/SART1/TRMT112/GAR1",12
"GO:1900182","GO:1900182","positive regulation of protein localization to nucleus","7/256","94/18805",0.074468085106383,5.47020445478723,5.1041998183622,0.000298432175915145,0.00823601927179357,0.0073525274909364,"FLNA/TRIM28/PARP1/TPR/IPO7/TFRC/MAVS",7
"GO:2000781","GO:2000781","positive regulation of double-strand break repair","7/256","94/18805",0.074468085106383,5.47020445478723,5.1041998183622,0.000298432175915145,0.00823601927179357,0.0073525274909364,"PRKDC/PARP1/RUVBL2/RUVBL1/FH/TOP2B/SMARCA4",7
"GO:0019079","GO:0019079","viral genome replication","8/256","124/18805",0.0645161290322581,4.73916330645161,4.90761029537936,0.000299047754218514,0.00823601927179357,0.0073525274909364,"TRIM28/DDX5/PCBP2/DDB1/BANF1/TOP2B/MAVS/CTBP2",8
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","10/256","193/18805",0.0518134715025907,3.80606379533679,4.60324962324954,0.00032398014556746,0.00883254962511691,0.00788506701971202,"FLNA/NUMA1/HNRNPU/TPR/PPP1CC/BUB3/GOLGA2/RAD21/STAG2/ZNF207",10
"GO:0140896","GO:0140896","cGAS/STING signaling pathway","4/256","25/18805",0.16,11.753125,6.32035915745389,0.000338811214888677,0.00914451468984539,0.00816356706189665,"PRKDC/PARP1/PCBP2/BANF1",4
"GO:0006284","GO:0006284","base-excision repair","5/256","45/18805",0.111111111111111,8.16189236111111,5.65070301640703,0.000352140446593203,0.00941016896391143,0.00840072415061846,"PARP1/APEX1/RPS3/FEN1/RPA3",5
"GO:2001251","GO:2001251","negative regulation of chromosome organization","7/256","98/18805",0.0714285714285714,5.24693080357143,4.95189016170757,0.000385225701160443,0.0101933741905102,0.00909991362183957,"HNRNPU/PARP1/TPR/HNRNPC/BUB3/RAD21/ZNF207",7
"GO:0016973","GO:0016973","poly(A)+ mRNA export from nucleus","4/256","26/18805",0.153846153846154,11.3010817307692,6.17473223444539,0.000396157466502036,0.0103808640979514,0.00926729116835116,"SARNP/NUP93/DDX19B/NUP133",4
"GO:0006303","GO:0006303","double-strand break repair via nonhomologous end joining","6/256","72/18805",0.0833333333333333,6.12141927083333,5.11490728913902,0.000442502093340414,0.0114837802877478,0.0102518956645365,"PRKDC/XRCC6/HMGB1/TP53BP1/FH/TOP2B",6
"GO:0000727","GO:0000727","double-strand break repair via break-induced replication","3/256","12/18805",0.25,18.3642578125,7.06860388011575,0.000500888974494154,0.0128752318300926,0.0114940838357606,"MCM7/MCM2/MCM5",3
"GO:0007052","GO:0007052","mitotic spindle organization","8/256","135/18805",0.0592592592592593,4.35300925925926,4.59318916095729,0.000529450718130982,0.0134810140399577,0.0120348827587072,"FLNA/NUMA1/HNRNPU/TPR/GOLGA2/RAE1/STAG2/ZNF207",8
"GO:0090307","GO:0090307","mitotic spindle assembly","6/256","75/18805",0.08,5.8765625,4.97119032857936,0.000551285516862753,0.013905790747781,0.012414092947357,"FLNA/HNRNPU/TPR/GOLGA2/STAG2/ZNF207",6
"GO:0051983","GO:0051983","regulation of chromosome segregation","8/256","137/18805",0.0583941605839416,4.28946167883212,4.53963642620085,0.000583713218555458,0.0143497708051583,0.0128104465096263,"NUMA1/HNRNPU/TPR/RCC2/SMARCA4/BUB3/RAD21/ZNF207",8
"GO:0009062","GO:0009062","fatty acid catabolic process","7/256","105/18805",0.0666666666666667,4.89713541666667,4.70439951340586,0.000584836898320641,0.0143497708051583,0.0128104465096263,"HADHA/HSD17B10/DECR1/ACADM/ECI1/ACOX1/ECHDC1",7
"GO:2001252","GO:2001252","positive regulation of chromosome organization","7/256","105/18805",0.0666666666666667,4.89713541666667,4.70439951340586,0.000584836898320641,0.0143497708051583,0.0128104465096263,"HNRNPA2B1/NUMA1/RUVBL2/TPR/RUVBL1/FEN1/RAD21",7
"GO:0070935","GO:0070935","3'-UTR-mediated mRNA stabilization","4/256","29/18805",0.137931034482759,10.1320043103448,5.78160505954706,0.000609535457067463,0.0148210468344602,0.0132311679585341,"HNRNPC/ELAVL1/HNRNPA0/RBM10",4
"GO:0045727","GO:0045727","positive regulation of translation","8/256","140/18805",0.0571428571428571,4.19754464285714,4.46119791601527,0.000673456966753149,0.0162291102970245,0.014488186061071,"PRKDC/DHX9/HNRNPU/SYNCRIP/YBX1/ELAVL1/EIF4A3/RBM4",8
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","7/256","108/18805",0.0648148148148148,4.76110387731481,4.60496247252156,0.000692222911950902,0.0165337136226149,0.014760114070383,"NUMA1/HNRNPU/TPR/SMARCA4/BUB3/RAD21/ZNF207",7
"GO:0050792","GO:0050792","regulation of viral process","8/256","142/18805",0.0563380281690141,4.13842429577465,4.4101154080549,0.000739235259195276,0.017501718987439,0.0156242798550137,"DHX9/TRIM28/DDX5/HMGB1/DDB1/BANF1/TOP2B/MAVS",8
"GO:0045069","GO:0045069","regulation of viral genome replication","6/256","80/18805",0.075,5.50927734375,4.74816586036148,0.000777564493350606,0.0182491005874199,0.0162914885609111,"TRIM28/DDX5/DDB1/BANF1/TOP2B/MAVS",6
"GO:0000054","GO:0000054","ribosomal subunit export from nucleus","3/256","14/18805",0.214285714285714,15.7407924107143,6.48178699470963,0.000812201972892343,0.0185773993630206,0.0165845701690506,"XPO1/RBM10/NUP88",3
"GO:0033750","GO:0033750","ribosome localization","3/256","14/18805",0.214285714285714,15.7407924107143,6.48178699470963,0.000812201972892343,0.0185773993630206,0.0165845701690506,"XPO1/RBM10/NUP88",3
"GO:2000622","GO:2000622","regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","3/256","14/18805",0.214285714285714,15.7407924107143,6.48178699470963,0.000812201972892343,0.0185773993630206,0.0165845701690506,"SYNCRIP/EIF4A3/MAGOHB",3
"GO:0001510","GO:0001510","RNA methylation","6/256","81/18805",0.0740740740740741,5.44126157407407,4.70581011394971,0.000830350035177401,0.0188328970163345,0.0168126601549851,"HSD17B10/FBL/SNRPD3/TRMT112/SNRPD1/SNRPE",6
"GO:2000779","GO:2000779","regulation of double-strand break repair","8/256","145/18805",0.0551724137931034,4.05280172413793,4.3352249057202,0.00084750924139575,0.0190618953543927,0.0170170934522357,"PRKDC/PARP1/RUVBL2/RUVBL1/TP53BP1/FH/TOP2B/SMARCA4",8
"GO:1900180","GO:1900180","regulation of protein localization to nucleus","8/256","146/18805",0.0547945205479452,4.02504280821918,4.31070818082383,0.000886303751106686,0.0197697010267516,0.0176489716075094,"FLNA/TRIM28/CTNNA1/PARP1/TPR/IPO7/TFRC/MAVS",8
"GO:0006364","GO:0006364","rRNA processing","10/256","222/18805",0.045045045045045,3.30887528153153,4.0654057899748,0.000962840929274713,0.0213008825255119,0.0190159006653134,"PRKDC/DDX17/EIF4A3/NOP56/FBL/NOP58/PELP1/SART1/TRMT112/GAR1",10
"GO:1903900","GO:1903900","regulation of viral life cycle","7/256","115/18805",0.0608695652173913,4.47129755434783,4.38652859832756,0.00100386183545705,0.0220278300316958,0.0196648672773744,"TRIM28/DDX5/HMGB1/DDB1/BANF1/TOP2B/MAVS",7
"GO:0040029","GO:0040029","epigenetic regulation of gene expression","12/256","308/18805",0.038961038961039,2.86196225649351,3.87061911021204,0.0011015262805166,0.0239759631541476,0.0214040208497665,"HNRNPK/HNRNPU/TRIM28/TPR/HMGB1/DDB1/APEX1/RBM14/USP7/SMARCA4/TRMT112/PIWIL4",12
"GO:0048026","GO:0048026","positive regulation of mRNA splicing, via spliceosome","4/256","34/18805",0.117647058823529,8.64200367647059,5.23947592639983,0.00112841484497916,0.0243647333327899,0.0217510869907982,"NCL/THRAP3/NUP98/TRA2A",4
"GO:0006457","GO:0006457","protein folding","10/256","227/18805",0.0440528634361234,3.2359925660793,3.98170112611652,0.00113948391736665,0.0244084689918458,0.0217901310513973,"KHSRP/HSPA9/RUVBL2/PDIA6/HSPA4/TRAP1/DFFA/ANP32E/HSPBP1/RANBP2",10
"GO:0030174","GO:0030174","regulation of DNA-templated DNA replication initiation","3/256","16/18805",0.1875,13.773193359375,6.00471636213837,0.0012246334859823,0.0258225451458299,0.0230525168537294,"MCM7/MCM2/MCM5",3
"GO:0036260","GO:0036260","RNA capping","3/256","16/18805",0.1875,13.773193359375,6.00471636213837,0.0012246334859823,0.0258225451458299,0.0230525168537294,"SNRPD3/SNRPD1/SNRPE",3
"GO:0009161","GO:0009161","ribonucleoside monophosphate metabolic process","5/256","59/18805",0.0847457627118644,6.22517213983051,4.72233894582646,0.00123642089428354,0.0258689921990022,0.023093981452591,"PFAS/GART/CAD/AK2/MAGI3",5
"GO:0043414","GO:0043414","macromolecule methylation","7/256","121/18805",0.0578512396694215,4.24958032024793,4.21279072004542,0.00135065578417396,0.0280416920114272,0.0250336120645685,"HSD17B10/ETF1/FBL/SNRPD3/TRMT112/SNRPD1/SNRPE",7
"GO:2000765","GO:2000765","regulation of cytoplasmic translation","4/256","36/18805",0.111111111111111,8.16189236111111,5.05293051458097,0.00140309002579422,0.0289079387757145,0.0258069350666369,"DHX9/HNRNPU/SYNCRIP/YBX1",4
"GO:0010639","GO:0010639","negative regulation of organelle organization","13/256","362/18805",0.0359116022099447,2.63795968577348,3.69680517908777,0.00144770374346964,0.0296011545729133,0.0264257884274482,"HNRNPU/PARP1/TPR/HNRNPC/PFN1/RBM14/SEC22B/TFRC/MTPN/BUB3/USP10/RAD21/ZNF207",13
"GO:2001034","GO:2001034","positive regulation of double-strand break repair via nonhomologous end joining","3/256","17/18805",0.176470588235294,12.9630055147059,5.79708063372569,0.00147217385776038,0.0298751672337989,0.026670407284634,"PRKDC/FH/TOP2B",3
"GO:0072329","GO:0072329","monocarboxylic acid catabolic process","7/256","124/18805",0.0564516129032258,4.14676789314516,4.13009789728163,0.00155593054842494,0.0311189191519292,0.027780739821285,"HADHA/HSD17B10/DECR1/ACADM/ECI1/ACOX1/ECHDC1",7
"GO:0050685","GO:0050685","positive regulation of mRNA processing","4/256","37/18805",0.108108108108108,7.94130067567568,4.96498081914692,0.00155652244739179,0.0311189191519292,0.027780739821285,"NCL/THRAP3/NUP98/TRA2A",4
"GO:0000966","GO:0000966","RNA 5'-end processing","4/256","38/18805",0.105263157894737,7.73231907894737,4.88027074065943,0.00172125109154378,0.0341592404123285,0.0304949206543632,"HSD17B10/SNRPD3/SNRPD1/SNRPE",4
"GO:0140014","GO:0140014","mitotic nuclear division","11/256","282/18805",0.0390070921985816,2.86534519060284,3.70777144839566,0.00174213390640612,0.0343213095867893,0.0306396043931127,"FLNA/NUMA1/HNRNPU/TPR/PPP1CC/BANF1/BUB3/GOLGA2/RAD21/STAG2/ZNF207",11
"GO:0046824","GO:0046824","positive regulation of nucleocytoplasmic transport","5/256","64/18805",0.078125,5.73883056640625,4.46117891632384,0.00178224605192344,0.0348571166242129,0.0311179344992583,"FLNA/DHX9/TRIM28/TPR/MAVS",5
"GO:0016032","GO:0016032","viral process","14/256","421/18805",0.0332541567695962,2.44275163301663,3.51720328492113,0.00197523775415544,0.0383537172551478,0.0342394488395442,"DHX9/TRIM28/DDX5/RPSA/PCBP2/HMGB1/DDB1/TFRC/BANF1/TOP2B/MAVS/SMARCA4/EIF3F/CTBP2",14
"GO:0046931","GO:0046931","pore complex assembly","3/256","19/18805",0.157894736842105,11.5984786184211,5.42985238100384,0.00205611261180165,0.0396389138518046,0.0353867802136389,"NUP93/NUP98/NUP205",3
"GO:0009167","GO:0009167","purine ribonucleoside monophosphate metabolic process","4/256","40/18805",0.1,7.345703125,4.71976434337715,0.00208628150809667,0.0399352751088858,0.0356513502951345,"PFAS/GART/AK2/MAGI3",4
"GO:0034502","GO:0034502","protein localization to chromosome","7/256","131/18805",0.0534351145038168,3.9251848759542,3.9468910948414,0.00212949211305176,0.0404753465713149,0.0361334873741697,"PARP1/RUVBL2/TP53BP1/RCC2/USP7/BUB3/RAD21",7
"GO:0032922","GO:0032922","circadian regulation of gene expression","5/256","67/18805",0.0746268656716418,5.48186800373134,4.31737427294663,0.00218430937383786,0.0412269300698488,0.0368044472338231,"HNRNPU/PPP1CC/RBM4/GFPT1/TOP1",5
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","8/256","169/18805",0.0473372781065089,3.47725591715976,3.80034241827801,0.00224886647164404,0.0421506292150505,0.0376290596022896,"FLNA/NUMA1/HNRNPU/TPR/GOLGA2/RAE1/STAG2/ZNF207",8
"GO:0042307","GO:0042307","positive regulation of protein import into nucleus","4/256","41/18805",0.0975609756097561,7.16653963414634,4.64360849166861,0.00228741791693765,0.042577523846998,0.0380101605217443,"FLNA/TRIM28/TPR/MAVS",4
"GO:0009451","GO:0009451","RNA modification","8/256","171/18805",0.0467836257309941,3.43658625730994,3.76020613206817,0.00241921369241032,0.0447223133959962,0.0399248748516743,"HSD17B10/SYNCRIP/FBL/SNRPD3/TRMT112/SNRPD1/SNRPE/GAR1",8
"GO:0019058","GO:0019058","viral life cycle","11/256","295/18805",0.0372881355932203,2.73907574152542,3.5368052702677,0.00247454187988697,0.0454339356041832,0.0405601601364932,"TRIM28/DDX5/RPSA/PCBP2/HMGB1/DDB1/TFRC/BANF1/TOP2B/MAVS/CTBP2",11
"GO:0009126","GO:0009126","purine nucleoside monophosphate metabolic process","4/256","42/18805",0.0952380952380952,6.99590773809524,4.5699694911018,0.00250151900246962,0.0456189174842264,0.040725298695967,"PFAS/GART/AK2/MAGI3",4
"GO:0017148","GO:0017148","negative regulation of translation","9/256","213/18805",0.0422535211267606,3.10381822183099,3.6276034981362,0.00264082367483695,0.04783612817708,0.0427046654306025,"NCL/TPR/SCRIB/SYNCRIP/YBX1/RPS3/EIF4A3/RBM4/CAPRIN1",9
