"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000776","GO:0000776","kinetochore","12/261","174/19880",0.0689655172413793,5.25300568106751,6.4990583276267,3.38626965489504e-06,5.74311333470199e-05,4.26313527079418e-05,"HNRNPU/TPR/PPP1CC/XPO1/TP53BP1/SUGT1/SMARCA4/BUB3/NUP98/NUP133/ZNF207/NUP160",12
"GO:0035770","GO:0035770","ribonucleoprotein granule","15/261","278/19880",0.0539568345323741,4.10981559579922,6.02262648539149,4.38438878737935e-06,7.14992633018786e-05,5.307418005775e-05,"TUBB/DHX9/HNRNPK/HNRNPU/NCL/YBX1/ELAVL1/DDX1/RBM4/TOP1/CAPRIN1/SARNP/DDX19B/CNOT3/PIWIL4",15
"GO:0000779","GO:0000779","condensed chromosome, centromeric region","12/261","186/19880",0.0645161290322581,4.91410208874058,6.18586932095961,6.73117856050144e-06,0.000105704433690837,7.84648105103287e-05,"HNRNPU/TPR/PPP1CC/XPO1/TP53BP1/SUGT1/SMARCA4/BUB3/NUP98/NUP133/ZNF207/NUP160",12
"GO:0034708","GO:0034708","methyltransferase complex","9/261","101/19880",0.0891089108910891,6.78729941959713,6.72532940428994,7.36240246061246e-06,0.000111487808689274,8.27578321700423e-05,"RUVBL2/HSD17B10/RUVBL1/SNRPD3/ERH/PELP1/TRMT112/SNRPD1/SNRPE",9
"GO:1905368","GO:1905368","peptidase complex","10/261","129/19880",0.0775193798449612,5.90454126941697,6.44581431865359,8.0043424504538e-06,0.000116375666832606,8.63861081999731e-05,"SF3B3/PSMC1/PSMA7/PSMD4/PSME3/PSMB3/PMPCB/SF3B5/SEC11A/PIGT",10
"GO:0005697","GO:0005697","telomerase holoenzyme complex","5/261","22/19880",0.227272727272727,17.3110414489725,8.82885461826231,8.23412737023155e-06,0.000116375666832606,8.63861081999731e-05,"HNRNPU/HNRNPC/SNRPD3/SNRPE/GAR1",5
"GO:0000228","GO:0000228","nuclear chromosome","13/261","236/19880",0.0550847457627119,4.19572699525943,5.69625990780138,1.54033883848641e-05,0.000210678602425238,0.000156387542515258,"DHX9/HNRNPU/PARP1/RUVBL2/LRPPRC/RUVBL1/MCM7/MCM2/TOP1/MCM5/ANP32E/RPA3/RAD21",13
"GO:0005687","GO:0005687","U4 snRNP","4/261","13/19880",0.307692307692308,23.4364868847627,9.3333912824876,1.89115663502808e-05,0.000235838356838795,0.000175063725657398,"DDX39B/SNRPD3/SNRPD1/SNRPE",4
"GO:0034709","GO:0034709","methylosome","4/261","13/19880",0.307692307692308,23.4364868847627,9.3333912824876,1.89115663502808e-05,0.000235838356838795,0.000175063725657398,"SNRPD3/ERH/SNRPD1/SNRPE",4
"GO:0044615","GO:0044615","nuclear pore nuclear basket","4/261","13/19880",0.307692307692308,23.4364868847627,9.3333912824876,1.89115663502808e-05,0.000235838356838795,0.000175063725657398,"TPR/NUP98/NUP35/RANBP2",4
"GO:0022626","GO:0022626","cytosolic ribosome","9/261","118/19880",0.076271186440678,5.80946814728229,6.0436832644809,2.59750002285468e-05,0.000314668574197253,0.000233579701303323,"RPSA/RPS3/RPL12/RPS10/ETF1/RPL18/USP10/RPL27A/RPL29",9
"GO:0001650","GO:0001650","fibrillar center","10/261","150/19880",0.0666666666666667,5.0779054916986,5.78226951216904,2.99291882508295e-05,0.000352499328287547,0.000261661616578889,"EEF1D/PSPC1/TOP1/NOP56/FBL/NOP58/SMARCA4/RAE1/STAG2/GAR1",10
